1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;1;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;1;SFR
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;SFR
1;1;1;1;Bouygues Telecom
0;1;1;0;Orange
1;1;1;0;Bouygues Telecom
0;1;1;0;Orange
1;1;1;1;Bouygues Telecom
0;1;1;0;Free Mobile
0;1;0;0;Orange
0;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;SFR
0;1;1;0;Free Mobile
0;1;1;0;Orange
1;1;1;1;Orange
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;Bouygues Telecom
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;1;SFR
1;1;1;1;Bouygues Telecom
1;1;1;1;Bouygues Telecom
1;1;1;1;Orange
1;1;1;0;Orange
1;1;1;1;SFR
1;1;0;0;SFR
1;1;1;0;SFR
1;1;1;1;SFR
0;1;1;0;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;1;SFR
1;1;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;0;Free Mobile
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
1;1;0;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
0;1;1;0;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;0;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;1;Bouygues Telecom
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
0;1;1;0;Orange
1;1;1;0;Orange
0;1;1;0;Free Mobile
0;1;1;1;Free Mobile
0;1;1;0;Free Mobile
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
0;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;1;Orange
0;1;1;0;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
0;1;1;0;Free Mobile
1;1;1;1;Bouygues Telecom
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;1;SFR
1;1;1;1;Bouygues Telecom
0;1;1;0;Free Mobile
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;1;Orange
0;1;1;0;Orange
0;1;1;0;Orange
1;1;1;0;Orange
1;1;1;1;Orange
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;0;Free Mobile
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;1;SFR
1;1;1;1;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;1;Bouygues Telecom
0;1;1;0;Free Mobile
1;1;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;1;Bouygues Telecom
1;1;1;0;Orange
0;1;1;0;Orange
1;1;1;0;Orange
1;1;1;1;SFR
0;1;1;1;Free Mobile
1;1;1;0;Orange
0;1;1;0;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;SFR
0;1;1;0;Free Mobile
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;Bouygues Telecom
0;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;1;Orange
1;1;1;1;SFR
0;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;Orange
0;1;1;1;Orange
0;1;1;0;Free Mobile
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;0;Free Mobile
1;1;1;1;SFR
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;1;SFR
0;1;1;0;Free Mobile
1;1;1;1;Bouygues Telecom
0;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;1;SFR
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;1;SFR
1;1;1;0;SFR
1;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;0;SFR
0;1;1;0;Free Mobile
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;1;SFR
1;1;1;0;Orange
1;1;1;1;SFR
1;1;1;1;Bouygues Telecom
0;1;1;1;Free Mobile
0;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
0;1;1;0;Orange
1;1;1;1;Bouygues Telecom
0;1;1;0;Free Mobile
0;1;1;0;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;0;Bouygues Telecom
0;1;1;0;Free Mobile
1;1;1;1;SFR
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Bouygues Telecom
0;1;1;0;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;1;SFR
1;1;1;0;Bouygues Telecom
0;1;1;0;Orange
1;1;1;0;SFR
0;1;1;1;Free Mobile
0;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
0;1;1;0;Orange
0;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;1;SFR
0;1;1;0;Bouygues Telecom
1;1;1;1;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
0;1;1;0;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;SFR
0;1;1;0;Orange
0;1;1;0;Orange
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;0;SFR
0;1;1;0;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;Bouygues Telecom
0;1;1;0;Orange
1;1;1;0;Orange
0;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;1;Bouygues Telecom
0;0;1;0;SFR
0;0;1;1;SFR
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;1;Orange
1;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;1;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;Bouygues Telecom
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
0;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;1;Bouygues Telecom
1;1;1;0;Bouygues Telecom
1;1;1;1;SFR
1;1;1;0;SFR
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;1;Bouygues Telecom
0;1;1;0;Orange
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;1;SFR
1;1;1;0;SFR
0;1;1;0;Orange
1;1;1;1;Orange
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;Orange
0;0;1;0;SFR
1;1;1;1;SFR
1;1;1;1;Bouygues Telecom
0;1;1;0;Free Mobile
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;1;Bouygues Telecom
0;1;1;0;Free Mobile
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;1;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;0;Free Mobile
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;1;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
0;1;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
1;1;1;1;SFR
1;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;SFR
0;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;1;SFR
1;1;1;1;Bouygues Telecom
0;1;1;0;Orange
0;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;0;SFR
0;1;1;0;Orange
1;0;0;0;SFR
0;1;1;0;Free Mobile
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;1;Bouygues Telecom
0;1;1;0;Free Mobile
1;1;1;1;SFR
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;1;SFR
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;1;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;SFR
0;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
0;1;1;0;Orange
1;1;1;1;Orange
1;1;1;0;Bouygues Telecom
0;1;1;0;Orange
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;0;Free Mobile
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;1;Orange
0;1;1;0;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;1;SFR
0;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;1;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;0;Free Mobile
0;1;1;1;Free Mobile
0;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
0;0;1;0;SFR
0;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
0;1;1;0;Orange
1;1;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
0;0;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;1;SFR
0;1;1;0;Orange
1;1;1;0;Orange
0;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;1;Bouygues Telecom
1;1;1;1;SFR
1;1;1;0;SFR
0;1;1;0;Free Mobile
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;0;1;0;SFR
0;1;0;0;SFR
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;Orange
0;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
0;1;1;0;Orange
0;1;1;0;Orange
0;1;1;0;Orange
0;1;1;0;Orange
1;1;1;1;SFR
0;1;1;1;Free Mobile
0;1;1;0;Free Mobile
0;1;1;1;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;1;Orange
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;1;Orange
1;1;1;1;SFR
1;1;1;1;Bouygues Telecom
0;1;1;0;Free Mobile
1;1;1;0;Bouygues Telecom
0;1;1;0;Orange
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Orange
0;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;1;SFR
1;1;1;1;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
0;1;1;0;Orange
1;1;1;0;Orange
0;1;1;0;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;1;Orange
0;1;1;1;Free Mobile
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;0;SFR
1;1;1;1;SFR
0;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;0;Orange
1;0;0;0;Orange
0;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;0;Orange
0;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;0;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
0;1;1;0;Free Mobile
1;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;Orange
1;1;1;1;SFR
1;1;0;0;SFR
1;1;1;1;Orange
1;1;1;1;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;0;Bouygues Telecom
1;1;1;1;SFR
0;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;1;Orange
1;1;1;1;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
0;1;1;0;Orange
0;1;1;0;Orange
1;1;1;0;SFR
1;1;1;1;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;1;SFR
1;1;1;1;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;SFR
0;1;1;0;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
0;1;1;0;Orange
0;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
0;1;1;0;Free Mobile
1;1;1;0;SFR
1;1;1;0;Orange
0;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
0;1;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;0;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;SFR
1;1;1;1;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;1;SFR
0;1;1;1;Free Mobile
0;1;1;0;Orange
0;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;0;0;0;Orange
0;1;1;1;Free Mobile
0;1;0;0;Orange
0;1;1;1;Free Mobile
1;1;1;1;Bouygues Telecom
0;1;1;0;Orange
1;1;1;0;Orange
0;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;1;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;1;SFR
1;1;1;1;SFR
1;1;1;1;Bouygues Telecom
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
0;1;1;1;Free Mobile
0;1;1;0;Free Mobile
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
0;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;1;SFR
1;1;1;1;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;0;Orange
0;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;1;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Orange
0;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;0;Orange
0;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;1;SFR
1;1;1;1;SFR
0;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;1;SFR
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
0;1;1;0;Free Mobile
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;1;Orange
0;1;1;0;Free Mobile
1;1;1;1;Bouygues Telecom
1;1;1;0;Orange
0;1;1;0;Orange
1;1;1;0;SFR
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
0;1;1;1;Free Mobile
0;1;1;0;Orange
1;1;1;0;Orange
0;1;1;0;Orange
0;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
0;1;1;0;Orange
0;1;1;0;Orange
0;1;1;0;Orange
0;1;1;0;Orange
1;1;1;1;Bouygues Telecom
0;1;1;1;Free Mobile
0;1;1;1;Orange
1;1;1;1;SFR
0;1;1;1;Free Mobile
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;1;SFR
1;1;1;0;Orange
1;1;1;1;SFR
1;1;1;0;Orange
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;1;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
0;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;0;SFR
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;0;Orange
0;1;1;0;Orange
1;1;1;1;SFR
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;1;Bouygues Telecom
1;1;1;0;Orange
1;1;1;1;SFR
1;1;1;1;Bouygues Telecom
1;1;1;1;SFR
1;1;1;1;SFR
1;1;1;1;Bouygues Telecom
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;1;SFR
1;1;1;1;Bouygues Telecom
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;Orange
1;1;1;1;Bouygues Telecom
1;1;1;1;SFR
0;1;1;1;Free Mobile
0;1;1;0;Orange
0;1;1;1;Free Mobile
0;1;1;1;Free Mobile
1;1;1;0;SFR
0;1;1;0;Orange
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
0;1;1;1;Free Mobile
0;1;1;0;Orange
1;1;1;0;SFR
0;1;1;1;Free Mobile
1;1;1;0;Bouygues Telecom
0;1;1;1;Free Mobile
1;1;1;0;Orange
0;1;1;0;Free Mobile
1;1;1;0;SFR
1;1;1;0;Bouygues Telecom
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Orange
1;1;1;0;Bouygues Telecom
1;1;1;0;SFR
0;1;1;1;Free Mobile
